"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"781","Depdc7",0.00349593550180262,-1.61773558710028,0.364,0.583,0.0328236969839121,"Depdc7"
"782","Tox4",0.000712533253736421,-1.62419270895063,0.368,0.583,0.00898147553139188,"Tox4"
"783","Zc3hav1",0.00230783925872954,-1.63679402546483,0.151,0.375,0.0238050178874993,"Zc3hav1"
"784","Zmiz1",0.00109240870682852,-1.64228641969742,0.308,0.583,0.0129453967062438,"Zmiz1"
"785","Wrap53",0.000966997038741675,-1.64255235976613,0.334,0.583,0.0116235632795449,"Wrap53"
"786","Mpp1",0.00212246161052585,-1.6443944627955,0.231,0.458,0.0226751970892576,"Mpp1"
"787","Ctr9",0.000101252435618158,-1.64556162286805,0.664,0.833,0.00175716164040186,"Ctr9"
"788","Gm14401",0.0046074911555265,-1.67716707939599,0.342,0.542,0.0406786756811312,"Gm14401"
"789","Tbpl1",2.7212493945421e-05,-1.71665901126722,0.395,0.667,0.000536448719809665,"Tbpl1"
"790","Zfp707",0.00113058534755365,-1.72045108747124,0.239,0.5,0.0133207794989865,"Zfp707"
"791","Haus4",3.07720873198344e-08,-1.75311012764104,0.387,0.792,9.14236841731468e-07,"Haus4"
"792","Id2",0.000247839235591421,-1.78025905689675,0.431,0.667,0.00374237245743046,"Id2"
"793","Dppa2",5.24486955573048e-06,-1.78216481300798,0.924,0.917,0.000124913177858186,"Dppa2"
"794","3110001I22Rik",0.00582058948054827,-1.81335683026998,0.142,0.333,0.0480072377444656,"3110001I22Rik"
"795","Gpn2",0.00295459567272694,-1.81546995111514,0.271,0.5,0.0284523095453198,"Gpn2"
"796","Sh3bgrl2",0.00232427858844908,-1.82377070542936,0.161,0.375,0.0238399320042857,"Sh3bgrl2"
"797","Yjefn3",0.00126580390942883,-1.83146232276106,0.091,0.292,0.0146795169132257,"Yjefn3"
"798","Ethe1",1.24220025919281e-07,-1.83147326211624,0.297,0.75,3.5329140187179e-06,"Ethe1"
"799","Cep57l1",7.44427634547424e-05,-1.83408720198568,0.6,0.792,0.00132486410245639,"Cep57l1"
"800","Cul7",0.00342220080002507,-1.85559096372725,0.192,0.417,0.0322554537438656,"Cul7"
"801","Wdtc1",3.52028002261092e-09,-1.87837608563441,0.565,0.917,1.35688267082058e-07,"Wdtc1"
"802","Zfp868",0.000405544705444126,-1.88321283912474,0.163,0.417,0.00575582684170554,"Zfp868"
"803","Pttg1ip",0.00114877948786285,-1.88748539464204,0.278,0.542,0.0135041518127826,"Pttg1ip"
"804","Tmsb15b2",9.61668664063478e-07,-1.91869321181477,0.335,0.667,2.50187582993566e-05,"Tmsb15b2"
"805","Ypel5",0.000384524271809664,-1.92452542124572,0.192,0.458,0.00548940254307616,"Ypel5"
"806","Avpi1",1.46537069461285e-09,-1.93026981975098,0.844,0.917,5.75423178659368e-08,"Avpi1"
"807","3222401L13Rik",0.000179116406735363,-1.93061150517237,0.22,0.5,0.00278505096544889,"3222401L13Rik"
"808","Rnd3",0.000115127492248341,-1.93785526698193,0.253,0.542,0.00195047803571642,"Rnd3"
"809","AI987944",0.000684035798692627,-1.94656036128484,0.144,0.375,0.00876723464009502,"AI987944"
"810","Gpcpd1",0.00566205581015497,-1.95580179641714,0.233,0.417,0.0472817169049828,"Gpcpd1"
"811","Prrg2",0.00378942139931972,-1.9571868606915,0.112,0.292,0.0349519239520377,"Prrg2"
"812","Mreg",3.22111385481521e-07,-1.97170018676868,0.741,0.917,8.76945253373203e-06,"Mreg"
"813","Dpysl3",0.00210807845268393,-1.97443956950796,0.244,0.458,0.0225379745229646,"Dpysl3"
"814","Col13a1",0.00276457487995076,-1.97880711873748,0.106,0.292,0.0270673317290366,"Col13a1"
"815","Gm32856",0.00389548353397236,-1.99318652702631,0.171,0.375,0.0357500923070759,"Gm32856"
"816","Pank3",0.00577622940680606,-2.00258489512681,0.21,0.417,0.0477182358271226,"Pank3"
"817","Ap5z1",0.00399030842802477,-2.00555387212778,0.146,0.333,0.0364536627234528,"Ap5z1"
"818","Hist1h2bc",0.00172186159030998,-2.00878356939274,0.219,0.458,0.0190196883207166,"Hist1h2bc"
"819","Hist1h2bj",0.0050972495229817,-2.02852516514396,0.216,0.417,0.0442033237200195,"Hist1h2bj"
"820","Cdc42ep3",3.7170459263264e-05,-2.03032577332926,0.167,0.458,0.000709824924157795,"Cdc42ep3"
"821","Zfp938",0.0013517978301872,-2.05463480057661,0.16,0.375,0.0154723997754808,"Zfp938"
"822","Dleu2",0.000315187456672897,-2.07101971139916,0.105,0.333,0.00460381810530388,"Dleu2"
"823","Nudt22",1.37312466395895e-06,-2.09267731844597,0.178,0.542,3.51611135542076e-05,"Nudt22"
"824","B930036N10Rik",0.00169262588420126,-2.10318071534159,0.156,0.375,0.0187817358529514,"B930036N10Rik"
"825","Nanos1",0.00343019279110141,-2.1115271159536,0.115,0.292,0.032289224814436,"Nanos1"
"826","Hist1h3d",1.97495417877438e-05,-2.12565130794929,0.103,0.375,0.000401208791352404,"Hist1h3d"
"827","Adgre5",0.0029489391163011,-2.13413105759444,0.149,0.333,0.0284165205503041,"Adgre5"
"828","Serpine2",1.29843298038763e-10,-2.14483449083197,0.298,0.833,5.61007311614677e-09,"Serpine2"
"829","Rabggta",0.00127016904489013,-2.16509750057115,0.197,0.417,0.0147168174929905,"Rabggta"
"830","Dact3",0.00214570562070617,-2.17442778717872,0.108,0.292,0.0228734717805555,"Dact3"
"831","Prps1",1.01574639745844e-07,-2.20324656341611,0.767,0.917,2.91147504570916e-06,"Prps1"
"832","Armcx5",0.00092530481034485,-2.21260419942411,0.162,0.375,0.0112193208254313,"Armcx5"
"833","Btg2",4.40953202206788e-05,-2.23516863404159,0.346,0.667,0.00082380632050036,"Btg2"
"834","Pttg1",4.90303360163674e-05,-2.24102962030181,0.437,0.708,0.000906751681353198,"Pttg1"
"835","Chpt1",5.17500578275675e-06,-2.24120542442973,0.236,0.542,0.000123651402447044,"Chpt1"
"836","Tmem189",0.000267911897919817,-2.25710174915694,0.236,0.5,0.00401648471733015,"Tmem189"
"837","Hyls1",1.63534922194811e-05,-2.26770296901659,0.133,0.417,0.000334538548238463,"Hyls1"
"838","Cox7a1",0.00139432011502172,-2.26869254683861,0.132,0.333,0.0158683812934912,"Cox7a1"
"839","Coch",0.00123589410492696,-2.29795067873128,0.104,0.292,0.0143553853726131,"Coch"
"840","GFP",6.45819042499531e-12,-2.35422554676719,1,1,2.90162929923026e-10,"GFP"
"841","Haghl",0.00312055140707893,-2.35978686709681,0.087,0.25,0.0297402269079172,"Haghl"
"842","Micu1",1.70292390655732e-07,-2.36943487818454,0.376,0.792,4.78747148931767e-06,"Micu1"
"843","Zcchc24",0.00152178246566383,-2.37271715577338,0.056,0.208,0.0171722247878105,"Zcchc24"
"844","Tmem191c",0.00499742817920356,-2.38129043779561,0.067,0.208,0.0435180324261561,"Tmem191c"
"845","Klhl5",0.000751870428967045,-2.41010879756605,0.1,0.292,0.00934859607222437,"Klhl5"
"846","Esrp1",0.000943913381777349,-2.41623760524799,0.101,0.292,0.0114260324817296,"Esrp1"
